match_id,season,round_label,round_number,date,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,is_starting,source_url
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Armstrong,armstrong,,FB,FB,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Brand,brand,,RW,RW,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Niu,niu,,RC,RC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Hanley,hanley,,LC,LC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Charnley,charnley,,LW,LW,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,O’Brien,obrien,,FE,FE,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Lam,lam,,HLF,HLF,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Trout,trout,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Dwyer,dwyer,,HK,HK,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Mulhern,mulhern,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Halton,halton,,L2R,L2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,O’Neill,oneill,,R2R,R2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Liu,liu,,LK,LK,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Hughes,hughes,,B,R2R,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Tuitavake,tuitavake,,B,PR,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Davis,davis,,B,HK,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Leigh,Wigan,,Ipape,ipape,,B,HK,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Field,field,,FB,FB,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Eckersley,eckersley,,RW,RW,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Keighran,keighran,,RC,RC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Wardle,wardle,,LC,LC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Marshall,marshall,,LW,LW,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,French,french,,FE,FE,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Smith,smith,,HLF,HLF,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Byrne,byrne,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Leeming,leeming,,HK,HK,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Thompson,thompson,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Nsemba,nsemba,,L2R,L2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025001,2025,Round 1,1,2025-02-13,Wigan,Leigh,,Farrell,farrell,,R2R,R2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
