match_id,season,round_label,round_number,date,is_final,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,tries,position_method,source_url,source,team_short,opposition_short
2025006,2025,Round 1,1,2025-02-16,False,Warrington,Huddersfield,,T. King,king,,LC,LC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Huddersfield
2025006,2025,Round 1,1,2025-02-16,False,Warrington,Huddersfield,,A. Lindop,lindop,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Huddersfield
2025006,2025,Round 1,1,2025-02-16,False,Huddersfield,Warrington,,J. Greenwood,greenwood,,R2R,R2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Warrington
2025006,2025,Round 1,1,2025-02-16,False,Huddersfield,Warrington,,T. Lolohea,lolohea,,FE,FE,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Warrington
2025007,2025,Round 2,2,2025-02-20,False,Hull KR,Wakefield Trinity,,T. Davies,davies,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Wakefield
2025007,2025,Round 2,2,2025-02-20,False,Hull KR,Wakefield Trinity,,M. Lewis,lewis,,FE,FE,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Wakefield
2025007,2025,Round 2,2,2025-02-20,False,Wakefield Trinity,Hull KR,,T. Johnstone,johnstone,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Hull KR
2025007,2025,Round 2,2,2025-02-20,False,Wakefield Trinity,Hull KR,,O. Pratt,pratt,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Hull KR
2025008,2025,Round 2,2,2025-02-21,False,Warrington,Catalans,,M. Dufty,dufty,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Catalans
2025008,2025,Round 2,2,2025-02-21,False,Warrington,Catalans,,T. King,king,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Catalans
2025008,2025,Round 2,2,2025-02-21,False,Warrington,Catalans,,D. Walker,walker,,HK,HK,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Catalans
2025008,2025,Round 2,2,2025-02-21,False,Catalans,Warrington,,M. Laguerre,laguerre,,LC,LC,2,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Catalans,Warrington
2025009,2025,Round 2,2,2025-02-21,False,Wigan,Hull FC,,J. Field,field,,FB,FB,3,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025009,2025,Round 2,2,2025-02-21,False,Wigan,Hull FC,,T. Forber,forber,,HK,HK,1,documented role override for interchange scorer,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025009,2025,Round 2,2,2025-02-21,False,Wigan,Hull FC,,B. French,french,,FE,FE,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025009,2025,Round 2,2,2025-02-21,False,Wigan,Hull FC,,P. Mago,mago,,PR,PR,1,documented role override for interchange scorer,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025009,2025,Round 2,2,2025-02-21,False,Wigan,Hull FC,,A. Miski,miski,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025009,2025,Round 2,2,2025-02-21,False,Wigan,Hull FC,,J. Wardle,wardle,,LC,LC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025009,2025,Round 2,2,2025-02-21,False,Hull FC,Wigan,,L. Martin,martin,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Wigan
2025010,2025,Round 2,2,2025-02-22,False,Leeds,Salford,,R. Lumb,lumb,,RW,RW,2,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
2025010,2025,Round 2,2,2025-02-22,False,Leeds,Salford,,J. Bentley,bentley,,L2R,L2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
2025010,2025,Round 2,2,2025-02-22,False,Leeds,Salford,,M. Gannon,gannon,,L2R,L2R,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
2025010,2025,Round 2,2,2025-02-22,False,Leeds,Salford,,R. Hall,hall,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
2025010,2025,Round 2,2,2025-02-22,False,Leeds,Salford,,A. Handley,handley,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
2025010,2025,Round 2,2,2025-02-22,False,Salford,Leeds,,K. Watkins,watkins,,R2R,R2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Salford,Leeds
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,H. Robertson,robertson,,RC,RC,2,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,J. Batchelor,batchelor,,R2R,R2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,J. Bennison,bennison,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,K. Feldt,feldt,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025011,2025,Round 2,2,2025-02-22,False,St Helens,Castleford,,J. Lomax,lomax,,HLF,HLF,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
