match_id,season,round_label,round_number,date,home_team,home_team_score,away_team,away_team_score,is_final,venue,source_url,source,home_team_short,away_team_short
2025029,2025,Round 5,5,2025-03-22,Leeds,12,Wigan,10,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Wigan
2025030,2025,Round 5,5,2025-03-23,Hull KR,30,Leigh,0,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Leigh
2025031,2025,Round 6,6,2025-03-27,Hull FC,24,Castleford,14,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Castleford
2025032,2025,Round 6,6,2025-03-28,Wakefield Trinity,40,Leigh,14,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Leigh
2025033,2025,Round 6,6,2025-03-28,Warrington,16,Leeds,14,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Leeds
2025034,2025,Round 6,6,2025-03-29,St Helens,14,Catalans,13,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Catalans
2025035,2025,Round 6,6,2025-03-30,Hull KR,50,Huddersfield,4,False,John Smith’s Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Huddersfield
2025036,2025,Round 6,6,2025-03-30,Wigan,54,Salford,0,False,The Brick Community Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Salford
2025037,2025,Round 7,7,2025-04-10,Leeds,28,Salford,0,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Salford
2025038,2025,Round 7,7,2025-04-11,St Helens,26,Wakefield Trinity,14,False,Totally Wicked Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Wakefield
2025039,2025,Round 7,7,2025-04-11,Wigan,28,Hull KR,12,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull KR
2025040,2025,Round 7,7,2025-04-12,Hull FC,28,Warrington,16,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Warrington
2025041,2025,Round 7,7,2025-04-12,Leigh,20,Castleford,6,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Castleford
2025042,2025,Round 7,7,2025-04-13,Catalans,38,Huddersfield,18,False,John Smith’s Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Catalans,Huddersfield
2025043,2025,Round 8,8,2025-04-17,Wakefield Trinity,13,Castleford,12,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Castleford
2025044,2025,Round 8,8,2025-04-18,Hull KR,28,Hull FC,14,False,MKM Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Hull FC
2025045,2025,Round 8,8,2025-04-18,Leeds,28,Huddersfield,6,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Huddersfield
2025046,2025,Round 8,8,2025-04-18,Wigan,24,St Helens,14,False,The Brick Community Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,St Helens
2025047,2025,Round 8,8,2025-04-19,Catalans,38,Salford,10,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Catalans,Salford
2025048,2025,Round 8,8,2025-04-19,Leigh,18,Warrington,14,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Warrington
2025049,2025,Round 9,9,2025-04-24,Warrington,32,St Helens,18,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,St Helens
2025050,2025,Round 9,9,2025-04-25,Hull KR,20,Leeds,14,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Leeds
2025051,2025,Round 9,9,2025-04-26,Castleford,30,Huddersfield,12,False,John Smith’s Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Huddersfield
2025052,2025,Round 9,9,2025-04-26,Catalans,24,Wakefield Trinity,20,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Catalans,Wakefield
2025053,2025,Round 9,9,2025-04-26,Leigh,28,Salford,6,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Salford
2025054,2025,Round 9,9,2025-04-27,Wigan,36,Hull FC,12,False,MKM Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Hull FC
2025055,2025,Round 10,10,2025-05-03,Hull KR,54,Salford,0,False,St James’ Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
2025056,2025,Round 10,10,2025-05-03,Leeds,17,St Helens,4,False,St James’ Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,St Helens
2025057,2025,Round 10,10,2025-05-03,Leigh,26,Catalans,24,False,St James’ Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Catalans
2025058,2025,Round 10,10,2025-05-04,Huddersfield,12,Hull FC,10,False,St James’ Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Hull FC
2025059,2025,Round 10,10,2025-05-04,Wakefield Trinity,32,Castleford,8,False,St James’ Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Castleford
2025060,2025,Round 10,10,2025-05-04,Wigan,22,Warrington,20,False,St James’ Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025061,2025,Round 11,11,2025-05-15,St Helens,40,Catalans,0,False,Totally Wicked Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Catalans
2025062,2025,Round 11,11,2025-05-16,Leeds,18,Hull FC,16,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Hull FC
2025063,2025,Round 11,11,2025-05-16,Wigan,36,Leigh,28,False,The Brick Community Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Leigh
2025064,2025,Round 11,11,2025-05-17,Hull KR,34,Huddersfield,0,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Huddersfield
2025065,2025,Round 11,11,2025-05-18,Castleford,48,Salford,16,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Salford
2025066,2025,Round 11,11,2025-05-18,Wakefield Trinity,40,Warrington,10,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Warrington
2025067,2025,Round 12,12,2025-05-22,Hull FC,26,Leigh,12,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Leigh
2025068,2025,Round 12,12,2025-05-23,Hull KR,31,Warrington,12,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Warrington
2025069,2025,Round 12,12,2025-05-23,St Helens,46,Huddersfield,4,False,John Smith’s Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Huddersfield
2025070,2025,Round 12,12,2025-05-24,Leeds,29,Castleford,6,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Castleford
2025071,2025,Round 12,12,2025-05-24,Wigan,48,Catalans,0,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Catalans
2025072,2025,Round 12,12,2025-05-25,Wakefield Trinity,72,Salford,10,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Salford
2025073,2025,Round 13,13,2025-05-29,Leigh,28,Huddersfield,24,False,John Smith’s Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Huddersfield
2025074,2025,Round 13,13,2025-05-30,Hull KR,34,St Helens,4,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,St Helens
2025075,2025,Round 13,13,2025-05-30,Warrington,34,Castleford,24,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Castleford
2025076,2025,Round 13,13,2025-05-30,Wigan,46,Salford,6,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Salford
2025077,2025,Round 13,13,2025-05-31,Hull FC,34,Catalans,0,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Catalans
2025078,2025,Round 13,13,2025-05-31,Leeds,22,Wakefield Trinity,18,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Wakefield
2025079,2025,Round 14,14,2025-06-13,Castleford,22,Hull FC,14,False,MKM Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Hull FC
2025080,2025,Round 14,14,2025-06-13,Hull KR,68,Catalans,6,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Catalans
2025081,2025,Round 14,14,2025-06-14,Leeds,36,Warrington,12,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Warrington
2025082,2025,Round 14,14,2025-06-14,Wigan,22,Huddersfield,18,False,FLAIR Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Huddersfield
2025083,2025,Round 14,14,2025-06-15,Leigh,24,Wakefield Trinity,20,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Wakefield
2025084,2025,Round 14,14,2025-06-15,St Helens,46,Salford,4,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Salford
2025085,2025,Round 15,15,2025-06-19,Hull KR,48,Castleford,0,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Castleford
2025086,2025,Round 15,15,2025-06-20,St Helens,18,Leeds,4,False,Totally Wicked Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Leeds
2025087,2025,Round 15,15,2025-06-20,Wakefield Trinity,16,Wigan,10,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Wigan
2025088,2025,Round 15,15,2025-06-21,Huddersfield,24,Warrington,16,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Warrington
2025089,2025,Round 15,15,2025-06-21,Leigh,26,Catalans,12,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Catalans
2025090,2025,Round 15,15,2025-06-22,Hull FC,38,Salford,6,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Salford
2025091,2025,Round 16,16,2025-06-27,Hull KR,34,Wakefield Trinity,10,False,Sewell Group Craven Park,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Wakefield
2025092,2025,Round 16,16,2025-06-27,Leeds,48,Leigh,30,False,AMT Headingley Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Leigh
2025093,2025,Round 16,16,2025-06-28,Catalans,32,Huddersfield,0,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Catalans,Huddersfield
2025094,2025,Round 16,16,2025-06-28,Warrington,24,Hull FC,10,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Hull FC
2025095,2025,Round 16,16,2025-06-28,Wigan,26,Castleford,20,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Castleford
2025096,2025,Round 16,16,2025-06-29,St Helens,58,Salford,0,False,Totally Wicked Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Salford
2025097,2025,Round 17,17,2025-07-03,Huddersfield,30,Castleford,12,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Castleford
2025098,2025,Round 17,17,2025-07-04,Leigh,18,Wigan,8,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Wigan
2025099,2025,Round 17,17,2025-07-04,Warrington,24,Salford,12,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Warrington,Salford
